step,mloss,gloss,loss
15700.0,0.6169,0.474,1.0909
15800.0,0.618,0.4729,1.0909
15900.0,0.6217,0.4732,1.0949
16000.0,0.6176,0.4722,1.0898
16100.0,0.6157,0.4726,1.0883
16200.0,0.6181,0.4737,1.0918
16300.0,0.6192,0.4748,1.0939999999999999
16400.0,0.6217,0.4731,1.0948
16500.0,0.621,0.4739,1.0949
16600.0,0.6159,0.4727,1.0886
16700.0,0.6185,0.4728,1.0913
16800.0,0.6142,0.4731,1.0873
16900.0,0.6191,0.4723,1.0914
17000.0,0.6167,0.4726,1.0893000000000002
17100.0,0.6205,0.472,1.0925
17200.0,0.6134,0.4726,1.0859999999999999
17300.0,0.6164,0.4719,1.0882999999999998
17400.0,0.6119,0.4717,1.0836000000000001
17500.0,0.6134,0.4729,1.0863
17600.0,0.617,0.4725,1.0895
17700.0,0.6196,0.4733,1.0929
17800.0,0.6152,0.4727,1.0878999999999999
17900.0,0.6182,0.4729,1.0911
18000.0,0.6165,0.471,1.0875
18100.0,0.6145,0.4725,1.087
18200.0,0.6128,0.4727,1.0855000000000001
18300.0,0.6117,0.4719,1.0836000000000001
18400.0,0.6144,0.4723,1.0867
18500.0,0.614,0.472,1.0859999999999999
18600.0,0.616,0.4712,1.0872
18700.0,0.6152,0.4712,1.0864
18800.0,0.6178,0.4711,1.0889
18900.0,0.6237,0.4725,1.0962
19000.0,0.614,0.4716,1.0856
19100.0,0.6157,0.4714,1.0871
19200.0,0.6196,0.4721,1.0917000000000001
19300.0,0.6165,0.4716,1.0881
19400.0,0.6185,0.4712,1.0897000000000001
19500.0,0.6173,0.4731,1.0904
19600.0,0.6209,0.4718,1.0927
19700.0,0.6206,0.4707,1.0913
19800.0,0.615,0.471,1.0859999999999999
19900.0,0.6142,0.4712,1.0854
20000.0,0.6153,0.4706,1.0859
